,City,Lat,Lng,Cloudiness,Country,Date,Humidity,Temp max,Wind Speed
0,barentsburg,-46.6,168.3333,100,NZ,2021-07-25,83,48.79,5.44
1,taolanaro,3.0707,172.7902,12,KI,2021-07-25,77,81.72,10.54
2,bluff,-30.9977,26.3286,1,ZA,2021-07-25,28,40.62,4.32
3,butaritari,11.2833,-15.8333,99,GW,2021-07-25,79,79.03,5.91
4,burgersdorp,-33.918,25.5701,0,ZA,2021-07-25,58,58.1,2.3
5,bubaque,22.8909,-109.9124,3,MX,2021-07-25,65,94.17,6.49
6,port elizabeth,27.3125,105.2942,0,CN,2021-07-25,92,63.1,1.99
7,chikoy,-33.8667,121.9,0,AU,2021-07-25,81,53.44,18.37
8,cabo san lucas,69.4541,-133.0374,90,CA,2021-07-25,100,51.8,21.85
9,bijie,10.1483,-85.452,99,CR,2021-07-25,74,80.15,2.68
10,esperance,17.95,96.7333,100,MM,2021-07-25,89,77.36,5.17
11,tuktoyaktuk,44.2331,42.0183,9,RU,2021-07-25,64,71.64,14.65
12,nicoya,20.5022,-10.0711,32,MR,2021-07-25,7,111.42,8.08
13,nyaunglebin,-21.3585,55.7679,37,RE,2021-07-25,76,69.39,11.48
14,psyzh,68.75,161.3,16,RU,2021-07-25,78,40.08,7.72
15,adrar,30.8845,114.3779,0,CN,2021-07-25,78,82.51,6.71
16,saint-philippe,-53.15,-70.9167,20,CL,2021-07-25,81,39.31,14.97
17,cherskiy,-41.8697,-73.8203,18,CL,2021-07-25,63,47.73,9.4
18,huangpi,20.45,106.3333,78,VN,2021-07-25,80,82.4,4.74
19,punta arenas,-54.8,-68.3,20,AR,2021-07-25,70,38.86,25.32
20,nizhneyansk,26.5412,-77.0636,79,BS,2021-07-25,71,83.7,10.45
21,ancud,19.7297,-155.09,90,US,2021-07-25,94,75.79,6.91
22,thai binh,-30.1811,-50.2056,7,BR,2021-07-25,52,74.25,5.03
23,ushuaia,59.6553,12.5852,24,SE,2021-07-25,35,81.3,6.46
24,marsh harbour,61.15,149.6333,100,RU,2021-07-25,96,52.95,6.49
25,hilo,-22.9661,-42.0278,0,BR,2021-07-25,65,78.76,24.16
26,cidreira,-33.5906,26.891,25,ZA,2021-07-25,51,61.45,11.18
27,attawapiskat,70.4692,-68.5914,90,CA,2021-07-25,100,35.83,11.5
28,arvika,-0.7193,8.7815,75,GA,2021-07-25,73,78.76,10.36
29,ust-omchug,43.6125,122.2653,100,CN,2021-07-25,95,72.32,6.93
30,arraial do cabo,59.3833,143.3,100,RU,2021-07-25,98,55.63,6.4
31,port alfred,-25.2406,130.9889,81,AU,2021-07-25,46,51.64,5.75
32,clyde river,29.234,56.6057,38,IR,2021-07-25,17,80.13,7.49
33,port-gentil,-39.4556,173.8583,100,NZ,2021-07-25,86,54.34,18.01
34,tongliao,-34.4187,19.2345,100,ZA,2021-07-25,56,57.79,6.26
35,karakendzha,55.7435,-97.8558,40,CA,2021-07-25,54,57.36,11.5
36,okhotsk,8,98.25,20,TH,2021-07-25,79,88.09,10.36
37,yulara,51.373,1.1286,82,GB,2021-07-25,84,71.22,1.99
38,kinanah,-42.8794,147.3294,70,AU,2021-07-25,76,42.66,16.11
39,baft,-33.65,115.3333,37,AU,2021-07-25,66,58.08,18.66
40,opunake,-21.2,-175.2,20,TO,2021-07-25,94,68.16,2.3
41,hermanus,71.6872,128.8694,79,RU,2021-07-25,78,47.53,6.98
42,thompson,-1.195,-46.02,73,BR,2021-07-25,50,88.36,6.93
43,phuket,70.0311,20.9714,100,NO,2021-07-25,98,53.6,7
44,herne bay,0.8,127.4,100,ID,2021-07-25,79,81.01,8.55
45,hobart,-33.9258,18.4232,0,ZA,2021-07-25,42,64.27,5.75
46,busselton,-43.5333,172.6333,99,NZ,2021-07-25,82,52,5.01
47,vaini,-20.4081,57.7,40,MU,2021-07-25,56,71.89,11.5
48,tiksi,-23.1203,-134.9692,97,PF,2021-07-25,65,70.07,3.67
49,carutapera,58.8053,-122.7002,40,CA,2021-07-25,63,62.19,4.61
50,skjervoy,20.8947,-156.47,40,US,2021-07-25,90,78.84,12.66
51,ternate,-46.1333,167.6833,100,NZ,2021-07-25,89,48.81,4.92
52,cape town,-24.7911,-50.0119,2,BR,2021-07-25,40,70.18,9.26
